,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
207,Betis,Real Madrid,1,1,Matchweek 21,-15.0,38.0,-9.0,11.0,21.0,43.0,2.0,13.0,1.3,5.75,9.5,75,79,72,84,72,82,73.0,93,72,87,76,86,74,87,75,83,71,87,79,84,68,80
208,Levante,Las Palmas,3,2,Matchweek 21,-19.0,-11.0,-2.0,0.0,14.0,18.0,3.0,5.0,3.25,3.1,2.38,72,75,75,73,75,70,75.0,71,76,74,71,71,77,72,71,76,72,74,76,69,73,67
209,Barcelona,Atlético Madrid,2,1,Matchweek 22,38.0,22.0,11.0,6.0,51.0,48.0,13.0,13.0,7.0,4.2,1.5,83,81,85,85,84,82,86.0,83,84,83,88,76,90,78,94,66,88,80,83,81,84,78
210,Getafe,Athletic Club,0,1,Matchweek 22,-5.0,2.0,3.0,-5.0,26.0,31.0,10.0,7.0,2.2,3.3,3.4,77,79,74,72,74,80,76.0,80,71,74,78,77,73,79,76,80,76,73,74,82,76,79
211,Eibar,Málaga,1,2,Matchweek 22,8.0,-3.0,6.0,0.0,33.0,24.0,12.0,7.0,3.0,3.25,2.38,71,78,73,74,71,81,73.0,75,75,73,71,67,74,76,72,75,72,72,72,73,70,75
212,Villarreal,Granada,1,0,Matchweek 22,10.0,-19.0,3.0,-6.0,41.0,20.0,11.0,6.0,7.5,4.5,1.44,76,77,79,73,81,75,80.0,74,78,74,79,73,77,75,79,70,76,76,65,71,81,73
213,Real Sociedad,Betis,2,1,Matchweek 22,-9.0,-15.0,-2.0,-5.0,21.0,22.0,5.0,2.0,5.5,3.75,1.67,79,75,77,72,79,72,80.0,72,78,71,82,74,77,75,66,71,56,75,66,79,79,68
214,Sevilla,Levante,3,1,Matchweek 22,6.0,-18.0,2.0,0.0,33.0,17.0,10.0,6.0,10.0,5.0,1.33,74,72,81,75,77,75,74.0,75,79,76,81,71,79,77,79,74,71,72,79,78,79,73
215,Valencia,Sporting Gijón,0,1,Matchweek 22,4.0,-15.0,-2.0,-3.0,25.0,18.0,3.0,3.0,4.75,3.75,1.75,78,76,82,74,81,71,81.0,75,79,72,80,72,78,71,80,63,76,66,80,76,80,66
216,Las Palmas,Celta Vigo,2,1,Matchweek 22,-12.0,-1.0,-4.0,-6.0,18.0,34.0,5.0,3.0,3.1,3.3,2.38,75,76,73,78,70,77,71.0,71,71,77,74,78,71,82,72,79,76,76,69,71,67,77
217,Real Madrid,Espanyol,6,0,Matchweek 22,38.0,-15.0,9.0,-3.0,44.0,22.0,11.0,2.0,21.0,11.0,1.1,79,75,81,71,87,76,82.0,74,93,75,87,76,86,74,87,64,83,64,87,76,84,64
218,La Coruña,Rayo Vallecano,2,2,Matchweek 22,3.0,-19.0,-6.0,2.0,29.0,19.0,3.0,5.0,4.0,3.6,1.91,67,70,74,77,76,75,72.0,73,76,80,75,59,78,70,77,76,75,71,75,72,73,71
219,Málaga,Getafe,3,0,Matchweek 23,-2.0,-6.0,-1.0,1.0,27.0,26.0,7.0,9.0,6.5,3.75,1.57,78,77,81,74,75,74,73.0,76,75,71,76,78,75,70,76,76,72,76,73,74,75,76
220,Atlético Madrid,Eibar,3,1,Matchweek 23,21.0,7.0,4.0,1.0,48.0,33.0,10.0,9.0,9.5,4.5,1.36,81,71,83,71,83,73,76.0,71,78,74,77,72,80,72,78,72,66,74,71,70,78,73
221,Rayo Vallecano,Las Palmas,2,0,Matchweek 23,-19.0,-11.0,2.0,-3.0,20.0,21.0,6.0,5.0,4.0,3.6,1.91,70,75,77,73,73,71,78.0,69,80,71,59,72,70,71,76,76,71,74,72,69,71,67
222,Athletic Club,Villarreal,0,0,Matchweek 23,3.0,11.0,-4.0,3.0,34.0,44.0,7.0,11.0,4.5,3.6,1.83,79,76,76,79,83,81,72.0,80,80,78,80,79,74,77,78,79,70,76,82,65,79,81
223,Sporting Gijón,La Coruña,1,1,Matchweek 23,-14.0,3.0,-1.0,-5.0,21.0,30.0,6.0,3.0,2.9,3.25,2.5,76,76,74,74,71,76,75.0,72,72,76,72,75,71,78,63,77,66,75,76,75,66,73
224,Levante,Barcelona,0,2,Matchweek 23,-20.0,39.0,-1.0,12.0,17.0,54.0,6.0,13.0,1.18,7.5,15.0,72,83,75,85,75,84,75.0,84,75,88,76,90,71,94,77,88,76,83,72,84,73,78
225,Betis,Valencia,1,0,Matchweek 23,-16.0,3.0,-2.0,-3.0,22.0,25.0,2.0,3.0,2.88,3.1,2.63,75,78,74,82,72,83,72.0,81,64,81,73,82,74,76,76,80,75,80,71,83,79,81
226,Celta Vigo,Sevilla,1,1,Matchweek 23,-2.0,8.0,-5.0,5.0,34.0,36.0,3.0,10.0,2.3,3.3,3.2,76,74,77,77,71,80,77.0,79,78,79,82,79,77,77,76,73,73,82,71,79,77,80
227,Granada,Real Madrid,1,2,Matchweek 23,-20.0,44.0,-8.0,15.0,20.0,47.0,6.0,11.0,1.25,6.0,12.0,77,79,75,81,74,87,70.0,82,72,93,76,87,76,86,71,87,73,83,73,87,73,84
228,Espanyol,Real Sociedad,0,5,Matchweek 23,-21.0,-8.0,-9.0,-1.0,22.0,24.0,2.0,8.0,2.8,3.1,2.7,75,79,73,77,75,79,76.0,80,76,82,74,77,71,56,64,72,64,66,76,79,75,75
229,Sporting Gijón,Rayo Vallecano,2,2,Matchweek 24,-14.0,-17.0,1.0,5.0,22.0,23.0,7.0,8.0,3.0,3.4,2.38,76,70,74,77,71,75,75.0,75,72,73,72,80,72,59,63,70,66,71,76,72,66,71
230,Real Madrid,Athletic Club,4,2,Matchweek 24,45.0,3.0,11.0,-2.0,50.0,35.0,13.0,7.0,9.5,6.0,1.29,79,79,81,83,87,72,82.0,80,93,81,87,70,86,77,87,80,78,73,87,82,80,79
231,Villarreal,Málaga,1,0,Matchweek 24,11.0,1.0,1.0,2.0,45.0,30.0,9.0,7.0,3.8,3.3,2.05,76,78,79,74,81,78,80.0,81,78,75,79,73,78,75,77,75,79,72,65,75,81,64
232,Valencia,Espanyol,2,1,Matchweek 24,2.0,-26.0,-2.0,-13.0,25.0,22.0,2.0,1.0,5.0,3.6,1.75,83,70,73,73,80,70,83.0,73,81,78,79,76,80,64,82,76,79,71,80,75,83,64
233,La Coruña,Betis,2,2,Matchweek 24,3.0,-15.0,0.0,0.0,31.0,25.0,4.0,5.0,4.75,3.5,1.8,76,75,74,74,76,72,72.0,73,76,72,75,64,78,73,77,76,75,76,75,75,73,79
234,Real Sociedad,Granada,3,0,Matchweek 24,-3.0,-21.0,2.0,-5.0,27.0,20.0,10.0,3.0,6.5,4.0,1.53,79,77,77,73,79,75,78.0,74,82,75,77,70,66,76,56,71,71,73,79,73,75,73
