,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
10,Hoffenheim,Oliver Baumann,Ozan Kabak,Grischa Prömel,Jacob Bruun Larsen,Dennis Geiger,Angeliño,Christoph Baumgartner,Kevin Vogt,Andrej Kramarić,Robert Skov,Stanley N'Soki,Bochum,Manuel Riemann,Cristian Gamboa,Kevin Stöger,Anthony Losilla,Simon Zoller,Takuma Asano,Jordi Osei-Tutu,Ivan Ordets,Saidy Janko,Dominique Heintz,Philipp Hofmann,3,2,Matchweek 2
11,Werder Bremen,Jiří Pavlenka,Anthony Jung,Amos Pieper,Jens Stage,Marvin Ducksch,Mitchell Weiser,Leonardo Bittencourt,Niclas Füllkrug,Miloš Veljković,Ilia Gruev,Marco Friedl,Stuttgart,Florian Müller,Waldemar Anton,Wataru Endo,Josha Vagnoman,Konstantinos Mavropanos,Sasa Kalajdzic,Tiago Tomás,Silas Katompa,Hiroki Ito,Chris Führich,Naouirou Ahamada,2,2,Matchweek 2
12,Leverkusen,Andrey Lunyov,Jonathan Tah,Mitchel Bakker,Sardar Azmoun,Edmond Tapsoba,Patrik Schick,Moussa Diaby,Charles Aránguiz,Adam Hložek,Exequiel Palacios,Jeremie Frimpong,Augsburg,Rafał Gikiewicz,Robert Gumny,Mads Pedersen,Jeffrey Gouweleeuw,Carlos Gruezo,Ermedin Demirović,Arne Maier,Elvis Rexhbeçaj,Ohis Felix Uduokhai,Iago,Fredrik Jensen,1,2,Matchweek 2
13,RB Leipzig,Péter Gulácsi,Mohamed Simakan,Willi Orban,Dani Olmo,Timo Werner,Dominik Szoboszlai,Christopher Nkunku,David Raum,Marcel Halstenberg,Hugo Novoa,Benjamin Henrichs,Köln,Marvin Schwäbe,Timo Hübers,Eric Martel,Dejan Ljubicic,Florian Kainz,Jonas Hector,Luca Kilian,Kingsley Ehizibue,Ellyes Skhiri,Jan Thielmann,Florian Dietz,2,2,Matchweek 2
14,Hertha BSC,Oliver Christensen,Filip Uremović,Suat Serdar,Dodi Lukebakio,Jonjoe Kenny,Maximilian Mittelstädt,Wilfried Kanga,Marc-Oliver Kempf,Lucas Tousart,Ivan Šunjić,Chidera Ejuke,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Djibril Sow,Randal Kolo Muani,Daichi Kamada,Almamy Touré,Lucas Alario,Christopher Lenz,Mario Götze,Tuta,Ansgar Knauff,1,1,Matchweek 2
15,Schalke 04,Alexander Schwolow,Thomas Ouwejan,Maya Yoshida,Tom Krauß,Simon Terodde,Rodrigo Zalazar,Marius Bülter,Cédric Brunner,Tobias Mohr,Alex Král,Malick Thiaw,Gladbach,Yann Sommer,Ko Itakura,Christoph Kramer,Marcus Thuram,Alassane Pléa,Manu Koné,Jonas Hofmann,Ramy Bensebaini,Joe Scally,Nico Elvedi,Florian Neuhaus,2,2,Matchweek 2
16,Mainz 05,Robin Zentner,Aarón Martín,Maxim Leitsch,Anton Stach,Lee Jae-sung,Karim Onisiwo,Marcus Ingvartsen,Stefan Bell,Silvan Widmer,Dominik Kohr,Alexander Hack,Union Berlin,Frederik Rønnow,Paul Jaeckel,Diogo Leite,Julian Ryerson,Rani Khedira,Janik Haberer,Niko Gießelmann,Genki Haraguchi,Sheraldo Becker,Robin Knoche,Jordan Pefok,0,0,Matchweek 2
17,Bayern Munich,Manuel Neuer,Dayot Upamecano,Benjamin Pavard,Joshua Kimmich,Serge Gnabry,Sadio Mané,Marcel Sabitzer,Alphonso Davies,Lucas Hernández,Thomas Müller,Jamal Musiala,Wolfsburg,Koen Casteels,Sebastiaan Bornauw,Maxence Lacroix,Micky van de Ven,Lukas Nmecha,Ridle Baku,Maximilian Arnold,Josuha Guilavogui,Mattias Svanberg,Omar Marmoush,Patrick Wimmer,2,0,Matchweek 2
18,Gladbach,Yann Sommer,Ko Itakura,Christoph Kramer,Marcus Thuram,Alassane Pléa,Manu Koné,Jonas Hofmann,Ramy Bensebaini,Joe Scally,Nico Elvedi,Florian Neuhaus,Hertha BSC,Oliver Christensen,Filip Uremović,Suat Serdar,Dodi Lukebakio,Jonjoe Kenny,Maximilian Mittelstädt,Wilfried Kanga,Marc-Oliver Kempf,Lucas Tousart,Ivan Šunjić,Chidera Ejuke,1,0,Matchweek 3
19,Leverkusen,Lukáš Hrádecký,Piero Hincapié,Jonathan Tah,Robert Andrich,Sardar Azmoun,Edmond Tapsoba,Patrik Schick,Moussa Diaby,Charles Aránguiz,Adam Hložek,Jeremie Frimpong,Hoffenheim,Oliver Baumann,Ozan Kabak,Grischa Prömel,Dennis Geiger,Angeliño,Christoph Baumgartner,Kevin Vogt,Kevin Akpoguma,Andrej Kramarić,Robert Skov,Georginio Rutter,0,3,Matchweek 3
