,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
114,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Saúl Ñíguez,Fernando Torres,Yannick Carrasco,Gabi,Stefan Savić,Juanfran,Real Madrid,Keylor Navas,Dani Carvajal,Raphaël Varane,Nacho,Cristiano Ronaldo,Gareth Bale,Marcelo,Mateo Kovačić,Lucas Vázquez,Luka Modrić,Isco,0,3,Matchweek 12
115,Alavés,Fernando Pacheco,Raúl García,Alexis,Marcos Llorente,Víctor Camarasa,Cristian Espinoza,Theo Hernández,Deyverson,Kiko Femenía,Nenad Krstičić,Zouhair Feddal,Espanyol,Diego López,Víctor Sánchez,Gerard Moreno,José Antonio Reyes,Aarón Martín,José Manuel Jurado,David López,Hernán Pérez,Javi Fuego,Pablo Piatti,Diego Reyes,0,1,Matchweek 12
116,Valencia,Diego Alves,João Cancelo,Eliaquim Mangala,Mario Suárez,Enzo Pérez,Daniel Parejo,José Luis Gayà,Nani,Rodrigo,Martín Montoya,Ezequiel Garay,Granada,Guillermo Ochoa,Gastón Silva,Uche Henry Agbo,David Lombán,Jeremie Boga,Gabriel Silva,Mehdi Carcela,Andreas Pereira,Isaac Cuenca,Matthieu Saunier,Artem Kravets,1,1,Matchweek 12
117,Sporting Gijón,Iván Cuéllar,Douglas,Jorge Meré,Fernando Amorebieta,Sergio Álvarez,Víctor Rodríguez,Nacho Cases,Roberto Canella,Moi Gómez,Duje Čop,Borja Viguera,Real Sociedad,Gerónimo Rulli,Carlos Martínez,Asier Illarramendi,Iñigo Martínez,Xabi Prieto,Carlos Vela,Willian José,David Zurutuza,Mikel Oyarzabal,Yuri Berchiche,Raúl Navas,1,3,Matchweek 12
118,Athletic Club,Kepa Arrizabalaga,Eneko Bóveda,Aymeric Laporte,Iker Muniain,Iñaki Williams,Mikel Vesga,Mikel Rico,Aritz Aduriz,Raúl García,Mikel Balenziaga,Yeray Álvarez,Villarreal,Sergio Asenjo,Mario Gaspar,Víctor Ruiz,Jaume Costa,Álvaro González,Manu Trigueros,Rodri,Nicola Sansone,Samu Castillejo,Roberto Soriano,Bruno Soriano,1,0,Matchweek 12
119,Leganés,Jon Ander Serantes,Unai Bustinza,Martín Mantovani,Alberto Martín,Gabriel,Alexander,Diego Rico,Robert Ibáñez,Pablo Insua,Luciano,David Timor,Osasuna,Nauzet Pérez,Tano Bonnín,David García,Oier Sanjurjo,Sergio León,Roberto Torres,Álex Berenguer,Fausto Tienza,Unai García,Juan Rafael Fuentes,Miguel de las Cuevas,2,0,Matchweek 12
120,Eibar,Asier Riesgo,Iván Ramis,Takashi Inui,Sergi Enrich,Dani García,Fran Rico,Anaitz Arbilla,Antonio Luna,Florian Lejeune,Pedro León,Adrián González,Betis,Antonio Adán,Álex Martínez,Bruno González,Petros,Dani Ceballos,Cristiano Piccini,Ryan Donk,Joaquín,Germán Pezzella,Aïssa Mandi,Rubén Castro,3,1,Matchweek 13
121,Málaga,Carlos Kameni,Mikel Villanueva,Ignacio Camacho,Michael Santos,Juanpi,Chory Castro,Federico Ricca,Roberto Rosales,Sandro Ramírez,Miguel Torres,Pablo Fornals,La Coruña,Przemysław Tytoń,Juanfran,Raúl Albentosa,Marlos Moreno,Florin Andone,Sidnei,Luisinho,Fayçal Fajr,Guilherme,Bruno Gama,Celso Borges,4,3,Matchweek 13
122,Real Madrid,Keylor Navas,Pepe,Sergio Ramos,Nacho,Cristiano Ronaldo,Karim Benzema,James Rodríguez,Mateo Kovačić,Lucas Vázquez,Luka Modrić,Danilo,Sporting Gijón,Diego Mariño,Douglas,Jorge Meré,Fernando Amorebieta,Sergio Álvarez,Rachid Aït-Atmane,Lillo,Isma López,Carlos Carmona,Moi Gómez,Duje Čop,2,1,Matchweek 13
123,Espanyol,Diego López,Víctor Sánchez,Gerard Moreno,José Antonio Reyes,Léo Baptistão,Aarón Martín,José Manuel Jurado,David López,Javi Fuego,Pablo Piatti,Diego Reyes,Leganés,Jon Ander Serantes,Unai Bustinza,Martín Mantovani,Alberto Martín,Gabriel,Víctor Díaz,Pablo Insua,Unai López,Luciano,Omar Ramos,David Timor,3,0,Matchweek 13
