,HomePlayer_Overall_sd,HomePlayer_Overall_mean_ln,AwayPlayer_Overall_sd,AwayPlayer_Overall_mean_ln,home_GD_form,home_Points_form,away_GD_form,away_Points_form,B365A,B365D,B365H
1359,4.600395239937147,4.382821320148394,7.573878554851295,4.38748946973522,4.0,10.0,8.0,13.0,2.5,3.6,2.88
1360,3.107176444063879,4.308172942412596,2.5725827135743997,4.421688376505182,5.0,10.0,7.0,11.0,1.55,4.5,6.5
1361,3.775519229794156,4.363743872916071,3.280798129058897,4.278243742450515,-1.0,7.0,0.0,6.0,8.0,4.75,1.44
1362,2.195035721390843,4.333943954430087,6.226045001735561,4.2843367093455305,13.0,12.0,-1.0,7.0,6.0,4.0,1.65
1363,2.0714509627092528,4.304935168226048,3.847076812334269,4.368352054007371,-6.0,6.0,1.0,6.0,1.73,3.8,5.5
1364,3.9611752158809,4.290362192535984,1.618079669911781,4.293964787315215,2.0,7.0,0.0,7.0,4.5,3.6,1.91
1365,3.22490309931942,4.316648606620719,1.9725387425622576,4.246837504664393,-4.0,2.0,0.0,7.0,4.2,3.7,1.95
1366,3.6156226673599767,4.28308558274748,4.412791324403101,4.386340821255729,-1.0,6.0,4.0,10.0,1.75,4.0,5.0
1367,2.280350850198276,4.3036267973416615,2.6764970322487494,4.371220063664887,-6.0,4.0,1.0,7.0,1.6,4.2,6.0
1368,6.368958813152772,4.297835571507182,3.6976651109487015,4.310288734929181,-1.0,7.0,0.0,5.0,3.1,3.3,2.5
1369,3.1766191290283907,4.404933592896935,5.59057648678072,4.3459931671375465,3.0,8.0,-3.0,5.0,8.0,4.75,1.45
1370,6.353238258056781,4.355680827382876,3.400534717310848,4.291970737579346,1.0,6.0,-1.0,5.0,9.0,5.0,1.4
1371,1.8683974659876552,4.249468124685881,3.107176444063879,4.308172942412596,-4.0,4.0,1.0,7.0,2.7,3.4,2.8
1372,1.3280197150781925,4.292797147551945,7.581076920380592,4.382971841117421,1.0,8.0,10.0,13.0,1.44,4.75,8.5
1373,2.500908925679912,4.364370538340341,3.1420896347378875,4.3106133062882375,-3.0,4.0,-6.0,6.0,6.5,4.0,1.6
