,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
168,Hellas Verona,Lorenzo Montipò,Josh Doig,Isak Hien,Darko Lazović,Ivan Ilić,Federico Ceccherini,Milan Đurić,Paweł Dawidowicz,Fabio Depaoli,Yayah Kallon,Adrien Tameze,Cremonese,Marco Carnesecchi,Emanuele Valeri,Charles Pickel,Cristian Buonaiuto,Matteo Bianchetti,Leonardo Sernicola,Michele Castagnetti,Alex Ferrari,Luka Lochoshvili,Cyriel Dessers,Luca Zanimacchia,2,0,Matchweek 17
169,Bologna,Łukasz Skorupski,Stefan Posch,Adama Soumaoro,Riccardo Orsolini,Nicolás Domínguez,Nicola Sansone,Gary Medel,Lewis Ferguson,Roberto Soriano,Charalambos Lykogiannis,Jhon Lucumí,Atalanta,Juan Musso,Rafael Tolói,José Luis Palomino,Teun Koopmeiners,Marten de Roon,Rasmus Højlund,Matteo Ruggeri,Hans Hateboer,Giorgio Scalvini,Mario Pašalić,Duván Zapata,1,2,Matchweek 17
170,Napoli,Alex Meret,Kim Min-jae,Mário Rui,Victor Osimhen,Amir Rrahmani,Piotr Zieliński,Matteo Politano,Giovanni Di Lorenzo,Stanislav Lobotka,Khvicha Kvaratskhelia,Andre-Frank Zambo Anguissa,Juventus,Wojciech Szczęsny,Gleison Bremer,Manuel Locatelli,Danilo,Federico Chiesa,Weston McKennie,Alex Sandro,Arkadiusz Milik,Filip Kostić,Ángel Di María,Adrien Rabiot,5,1,Matchweek 18
171,Cremonese,Marco Carnesecchi,Emanuele Valeri,Charles Pickel,Matteo Bianchetti,Paolo Ghiglione,Alex Ferrari,Soualiho Meïté,Giacomo Quagliata,Frank Tsadjout,David Okereke,Cyriel Dessers,Monza,Michele Di Gregorio,Pablo Marí,Luca Caldirola,Pepín,Gianluca Caprari,Samuele Birindelli,Carlos Augusto,Matteo Pessina,Andrea Petagna,Armando Izzo,Patrick Ciurria,2,3,Matchweek 18
172,Lecce,Wladimiro Falcone,Federico Baschirotto,Lorenzo Colombo,Federico Di Francesco,Joan Gonzàlez,Valentin Gendrey,Gabriel Strefezza,Alexis Blin,Morten Hjulmand,Samuel Umtiti,Giuseppe Pezzella,Milan,Ciprian Tătărușanu,Davide Calabria,Ismaël Bennacer,Olivier Giroud,Brahim Díaz,Rafael Leão,Theo Hernández,Pierre Kalulu,Fikayo Tomori,Tommaso Pobega,Alexis Saelemaekers,2,2,Matchweek 18
173,Inter,André Onana,Roberto Gagliardini,Edin Džeko,Lautaro Martínez,Francesco Acerbi,Hakan Çalhanoğlu,Henrikh Mkhitaryan,Federico Dimarco,Matteo Darmian,Milan Škriniar,Alessandro Bastoni,Hellas Verona,Lorenzo Montipò,Josh Doig,Isak Hien,Darko Lazović,Ivan Ilić,Federico Ceccherini,Milan Đurić,Paweł Dawidowicz,Fabio Depaoli,Yayah Kallon,Adrien Tameze,1,0,Matchweek 18
174,Sassuolo,Gianluca Pegolo,Rogério,Domenico Berardi,Agustín Álvarez Martínez,Pedro Obiang,Davide Frattesi,Jeremy Toljan,Hamed Junior Traorè,Martin Erlic,Ruan,Armand Lauriente,Lazio,Ivan Provedel,Felipe Anderson,Luis Alberto,Alessio Romagnoli,Nicolò Casale,Ciro Immobile,Mattia Zaccagni,Sergej Milinković-Savić,Elseid Hysaj,Danilo Cataldi,Adam Marušić,0,2,Matchweek 18
175,Udinese,Marco Silvestri,Sandi Lovrić,Jean-Victor Makengo,Isaac Success,Beto,Walace,Destiny Udogie,Nehuén Pérez,Jaka Bijol,Roberto Pereyra,Rodrigo Becão,Bologna,Łukasz Skorupski,Stefan Posch,Adama Soumaoro,Nikola Moro,Riccardo Orsolini,Nicola Sansone,Lewis Ferguson,Michel Aebischer,Charalambos Lykogiannis,Jhon Lucumí,Jerdy Schouten,1,2,Matchweek 18
176,Torino,Vanja Milinković-Savić,Perr Schuurs,Alessandro Buongiorno,Antonio Sanabria,Saša Lukić,Nikola Vlašić,Wilfried Singo,Koffi Djidji,Mërgim Vojvoda,Samuele Ricci,Aleksei Miranchuk,Spezia,Bartłomiej Drągowski,Emil Holm,Ethan Ampadu,Mehdi Bourabia,Emmanuel Gyasi,Arkadiusz Reca,M'Bala Nzola,Kelvin Amian,Mattia Caldara,Kevin Agudelo,Dimitris Nikolaou,0,1,Matchweek 18
177,Atalanta,Juan Musso,Rafael Tolói,José Luis Palomino,Teun Koopmeiners,Jeremie Boga,Ademola Lookman,Marten de Roon,Rasmus Højlund,Matteo Ruggeri,Giorgio Scalvini,Davide Zappacosta,Salernitana,Guillermo Ochoa,Domagoj Bradarić,Tonny Vilhena,Federico Fazio,Lassana Coulibaly,Boulaye Dia,Hans Nicolussi Caviglia,Matteo Lovato,Antonio Candreva,Lorenzo Pirola,Krzysztof Piątek,8,2,Matchweek 18
178,Roma,Rui Patrício,Bryan Cristante,Chris Smalling,Lorenzo Pellegrini,Tammy Abraham,Zeki Çelik,Paulo Dybala,Gianluca Mancini,Marash Kumbulla,Edoardo Bove,Nicola Zalewski,Fiorentina,Pietro Terracciano,Dodô,Cristiano Biraghi,Nikola Milenković,Giacomo Bonaventura,Luka Jović,Jonathan Ikone,Alfred Duncan,Sofyan Amrabat,Igor,Christian Kouamé,2,0,Matchweek 18
